{961f445e-e978-4060-84d6-2f84799d50d3} event:/cars/2005_tc_ford_falcon - ne/backfire_ext
{4c4e240b-1337-423b-99cb-4b9af0cbb565} event:/cars/2005_tc_ford_falcon - ne/backfire_int
{3db2481d-be27-4e6a-a06b-8748206d72d6} event:/cars/2005_tc_ford_falcon - ne/bodywork
{50b3a9df-5777-4b4e-a78a-b788618a8d8d} event:/cars/2005_tc_ford_falcon - ne/door
{316f0523-9c86-4015-91db-70621f3d8239} event:/cars/2005_tc_ford_falcon - ne/engine_ext
{18cf9247-5790-45b1-9fab-c5fca57e7b50} event:/cars/2005_tc_ford_falcon - ne/engine_int
{3c35b6fe-3382-4188-aaad-c318647c01d4} event:/cars/2005_tc_ford_falcon - ne/gear_ext
{f96e5212-cc62-4cf7-910d-0e8fa691fe09} event:/cars/2005_tc_ford_falcon - ne/gear_grind
{65f01e8a-4fd7-42c8-a627-f7693fa43d97} event:/cars/2005_tc_ford_falcon - ne/gear_int
{d838f940-24c8-4959-a013-f62ed592d083} event:/cars/2005_tc_ford_falcon - ne/horn
{4241fbf1-3c3f-4f6d-be0a-1af6bf5e028d} event:/cars/2005_tc_ford_falcon - ne/limiter
{76892d0b-6bb1-46e9-a42e-1c5a3d62d103} event:/cars/2005_tc_ford_falcon - ne/skid_ext
{567be78b-1dfb-47a4-b051-f4843ecc8990} event:/cars/2005_tc_ford_falcon - ne/skid_int
{eeee0522-18af-471a-84a9-102b91722f90} event:/cars/2005_tc_ford_falcon - ne/tractioncontrol_ext
{6d552c95-3845-41a5-870e-3ed91b260c70} event:/cars/2005_tc_ford_falcon - ne/tractioncontrol_int
{066f9933-3578-4489-b729-57e264992d72} event:/cars/2005_tc_ford_falcon - ne/transmission
{84aa96aa-c5a0-4983-9481-e4df3c4ee647} event:/cars/2005_tc_ford_falcon - ne/turbo
{a6e54fd1-c26b-4810-8111-eac1b1d619f7} event:/cars/2005_tc_ford_falcon - ne/wheel
{b783c11f-ab5f-4119-a136-ee142d607ac3} event:/cars/2005_tc_ford_falcon - ne/wind
{e7a0a53c-47d9-43bc-b7b8-e52d665bb16f} event:/collisions/car/hit
{30da2dc2-9c09-4556-8501-c6d54f63b689} event:/collisions/car/scrape
{68d68373-2ebb-41cc-9825-fa6dcc0027c2} event:/collisions/object/hit
{4bd6b486-ac12-483a-8e9e-4f587f8ec27f} event:/collisions/track/hit
{e7c31cb2-ac8d-4a2a-abc0-855cf9dff82e} event:/collisions/track/scrape
{4cc7ac44-8aaf-4473-91ea-aeca681ab958} event:/common/ambience
{d1f12277-fe8f-4106-9fb2-3de595d54a1c} event:/common/dirt
{f5666b9c-c659-459c-85bd-0eff6e92f7eb} event:/common/screw
{deae65e4-a5a7-4810-8adb-277fe4a96aa3} event:/common/unscrew
{f12c4de3-d817-4689-8985-f3a55d2274fc} event:/showrooms/showroom
{2cf5323a-2b34-4e01-ab6c-d0d6183d4ba7} event:/surfaces/extraturf
{62b4885a-92af-4af5-9f6d-2a467ffa2e3f} event:/surfaces/grass
{28e7a4ab-0e1c-4664-a7d8-b5fd89b024a0} event:/surfaces/gravel
{599532a9-5dac-40b8-8458-b0d16f89699a} event:/surfaces/kerb
{25b9a4aa-b8f7-4c53-ae28-0b98d81f732e} event:/surfaces/old
{7aa66622-f8c0-45b0-9650-89f6fc14cab1} event:/surfaces/sand
{c9bdf030-dda2-4d7c-9787-3dc4a166160c} event:/surfaces/tyre_rolling
{08f6ba78-f576-4f9f-a232-47657d5fec19} bus:/
{9e2b6406-bcd0-4f61-92a5-b3e5d68d4b97} bus:/grp_backfire_ext
{477be05a-5cbd-468a-b1d8-637af58bba28} bus:/grp_backfire_int
{b3c3876b-83aa-45d3-b43a-125adcb9a753} bus:/grp_bodywork
{f915798f-0669-4379-b31a-6ec19e8af0ea} bus:/grp_collisions
{559b9037-dd6c-4120-9373-477d07717f9e} bus:/grp_door
{5206e42b-ae8f-49f6-b059-d613b2947b49} bus:/grp_engine_ext
{db9dca15-49f5-4c00-93ca-e76ccaf1160e} bus:/grp_engine_int
{c9a0a35d-dcc0-4002-ae01-5487466de9f8} bus:/grp_gear_ext
{f09ce222-1e68-42a9-9e16-fcb45004fcb3} bus:/grp_gear_int
{c89669bc-901a-4b52-91b7-46a85014ee0d} bus:/grp_horn
{37b936f8-165c-484d-a2f5-d06ae99a0822} bus:/grp_limiter
{81c0ee3a-2fd8-4e25-b775-eb7845ca644f} bus:/grp_skid_ext
{37bf169d-f171-4af4-a924-d65a1f998264} bus:/grp_skid_int
{ce5395d1-28c9-4dcc-90bd-051528b365d3} bus:/grp_surfaces
{9d0c46e7-d738-480e-8d5f-b5fb315a701a} bus:/grp_tractioncontrol_ext
{dcf6df4b-a019-4819-97e4-d1b3ed67e4b1} bus:/grp_tractioncontrol_int
{dba03e3d-9c12-43da-a5b9-9c79b7673c7f} bus:/grp_transmission
{35927822-c7cf-43ab-b6a2-447a4386450e} bus:/grp_turbo
{b7b6c398-22ee-465a-a6df-42861188e195} bus:/grp_wheel_closed
{208daf59-324a-4a13-994e-d284dac196ce} bus:/grp_wheel_open
{bec567db-3040-4ca9-82f7-75f072ab68c8} bus:/grp_wind_closed
{1c1f5d35-07d5-4d6f-b916-cd0eb4adfd60} bus:/grp_wind_open
{94f04703-a92c-49cf-a097-734f3e79ec08} vca:/vca_engine_ext
{ff157bb9-ecc1-49da-ad82-5e42fecb2ac9} vca:/vca_engine_int
{f8b9d9e5-bd29-4a82-a1a0-66e8b9059ccb} vca:/vca_skid
{45401f11-f5bd-429f-afb6-710deda49e32} vca:/vca_surfaces
{a61eba16-8f14-4a39-8ffd-c573cfdc0dbd} vca:/vca_transmission
{185673e8-d3ed-434c-acd4-61c819bb209c} vca:/vca_wind
{78190ecd-ef6b-4cad-8b27-35166b0220a5} bank:/2005_tc_ford_falcon - ne
{4f6969ac-b7e1-45e5-84f1-31bc6f135357} bank:/showroom
{47dcf37a-6a8d-4ef6-9f82-2e0398fa69f9} bank:/common
